,Tweets,User,User_location,fav_count,rt_count,tweet_date
561,"RT @PIBMumbai: Out of 1 crore @AyushmanNHA beneficiaries, 80% are from rural areas, and 50% are our mothers, sisters and daughters. 70% of…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,1,2020-05-31 06:57:20
562,"RT @airnewsalerts: Listen to our bilingual live phone-in programme on #COVID19, FM Gold Channel &amp; additional frequencies 9.30 PM onwards.…","FOB, Kanker",,0,6,2020-05-31 06:57:18
563,"RT @PIBMumbai: .@AyushmanNHA has helped save around Rs. 14,000 crore of our poor brethren, portability of benefits too is a special feature…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,1,2020-05-31 06:57:18
564,"RT @PIBMumbai: Crores of poor people in our country have had a constant worry since decades, what happens if they fall ill. To remove this…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,1,2020-05-31 06:57:15
565,RT @airnewsalerts: MEA has been conducting mammoth coordinating efforts spearheaded by Indian High Commissions and Embassies across the wor…,Prathit Singh,Kolkata,0,14,2020-05-31 06:57:15
566,"@narendramodi #PMonAIR ?? Friends, all of us also have to bear in mind that after such austere penance &amp; after so ma… https://t.co/Xui0WNdgbM",Quarantined Shalini Bajpai??,Bharat ????,0,0,2020-05-31 06:57:12
567,"RT @PIBMumbai: Yoga is good for community, immunity and unity, for all three.

Yoga is even more important today since #COVID19 affects our…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,1,2020-05-31 06:57:10
568,RT @PIBMumbai: Most world leaders are interested in Yoga and Ayurveda; some leaders asked me how these can help during #COVID19. From Holly…,??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,3,2020-05-31 06:57:07
569,"RT @PIBMumbai: Himanshu from Bihar has written to me saying he wants to see a day when imports are reduced to the bare minimum, I understan…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,2,2020-05-31 06:57:04
570,"RT @PIBMumbai: Even amidst huge challenges, I am happy that there is a widespread deliberation on #AatmaNirbharBharat. People are  becoming…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,1,2020-05-31 06:57:00
571,"RT @PIBMumbai: Recent decisions by the Government open up lot of opportunities in self employment, job creation and small scale industry, e…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,2,2020-05-31 06:56:58
572,"RT @PIBMumbai: It has become necessary to initiate new steps for development of Eastern India. We are progressing continuously, skill mappi…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,3,2020-05-31 06:56:56
573,"RT @PIBMumbai: Progress of Eastern India is essential, only with that can the nation develop in a balanced way. A lot has been achieved in…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,2,2020-05-31 06:56:53
574,MEA has been conducting mammoth coordinating efforts spearheaded by Indian High Commissions and Embassies across th… https://t.co/yq5GOEgl5O,All India Radio News,"New Delhi, India",60,14,2020-05-31 06:56:50
575,"RT @PIBMumbai: The scenes we witness today provide us lessons for our future, it shows the pain of the eastern part of our country, which h…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,2,2020-05-31 06:56:47
576,"RT @PIBMumbai: Our Railway employees too are frontline corona warriors; taking lakhs of Shramik brethren to their home states, along with c…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,2,2020-05-31 06:56:45
577,"RT @PIBMumbai: No section of our society is unaffected by #COVID19, but the worst affected are our poor and our Shramik brethren. The Centr…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,1,2020-05-31 06:56:41
578,"RT @PIBMumbai: #COVID19 is an unprecedented situation, presenting new challenges. Corona has affected the entire world, India too is not un…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,2,2020-05-31 06:56:38
579,"Don’t know if the situation getting scary or balanced due to high rise in #covid19 cases.
Surroundings will never b… https://t.co/8J9OEcI7Et",Harish Bhardwaj,"New Delhi, India",1,0,2020-05-31 06:56:38
580,RT @PIBMumbai: The entire world is watching and we are hopeful of our vaccine development efforts. Innovation is what has taken us forward…,??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,2,2020-05-31 06:56:36
581,"RT @PIBMumbai: Students and teachers have come up with various innovations, online and video classes have been innovated in different ways…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,1,2020-05-31 06:56:33
582,"RT @PIBMumbai: Shopkeepers are adopting innovative ways to ensure #DoGajKiDoori

- PM @narendramodi #MannKiBaat #IndiaFightsCorona https://…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,7,2020-05-31 06:56:30
583,Today's #MannKiBaat  was a address to the nation by @narendramodi @PMOIndia to encourage Indian for the battle agai… https://t.co/sOYHWbRiW7,Aaditya,"Patna, India",1,0,2020-05-31 06:56:22
584,"RT @stpiindia: Using emerging tech-based apps to solve complex problems, especially during a crisis like #COVID19 is now a life-saving oppo…",Dheeraj Kumar Srivastava,Pune,0,120,2020-05-31 06:56:16
585,"RT @PIBMumbai: PM @narendramodi cites the example of Nashik farmer Rajendra Jadhav ""he has made an innovative tractor-mounted sanitization…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,25,2020-05-31 06:56:08
586,"RT @airnewsalerts: Friends, during the present Corona pandemic, Yoga becomes all the more important, because this virus affects our respira…","FOB, Kanker",,0,15,2020-05-31 06:56:07
587,RT @PIBMumbai: PM @narendramodi appreciates and honours all individuals and organizations who are helping others in various ways during #CO…,??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,2,2020-05-31 06:56:04
588,"RT @PIBMumbai: Women's Self Help Groups are also doing a very commendable job across the country, making thousands of masks and doing other…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,3,2020-05-31 06:56:02
589,"RT @PIBMumbai: Raju, a Divyang brother from Pathankot, has got made more than 3,000 masks and distributed them to people, he has also gave…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,2,2020-05-31 06:56:00
590,"RT @PIBMumbai: Cart puller Gautam Das from Agartala has been feeding the poor and needy every day, using the money from his daily earnings…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,1,2020-05-31 06:55:57
591,"RT @PIBMumbai: PM @narendramodi recalls the service mindset of C Mohan from Tamil Nadu, who runs a saloon in Madurai, he contributed Rs. 5…",??j ?????11372???????????? ???? ????????? ????????,???? ( ???????? ),0,2,2020-05-31 06:55:55
592,"RT @timesofindia: #Covid19: India records highest single-day spike of 8,380 cases; death toll climbs to 5,164

The number of active cases s…",Mukesh Sharda,Mumbai,0,7,2020-05-31 06:55:55
593,"RT @timesofindia: Highest spike of 8,380 new #COVID19 cases in the last 24 hours in India, 193 deaths reported. 

#IndiaFightsCorona #Coron…",AIPC NORTH DELHI,,0,14,2020-05-31 06:55:49
594,"RT @COVIDNewsByMIB: #CoronaVirusUpdates: 

#COVID19 India Tracker
(As on 31 May, 2020, 08:00 AM)

?? Confirmed cases: 182,143
?? Active cas…",Pankaj Kr. Choudhary,"Patna, India",0,91,2020-05-31 06:55:19
595,RT @BeingSalmanKhan: Thank u ?? @CMOMaharashtra @Iamrahulkanal @MumbaiPolice  #IndiaFightsCorona,Vasim Kadari,"Pune, India",0,4006,2020-05-31 06:55:11
596,"RT @PIBMumbai: Shopkeepers are adopting innovative ways to ensure #DoGajKiDoori

- PM @narendramodi #MannKiBaat #IndiaFightsCorona https://…",DD News,"New Delhi, India",0,7,2020-05-31 06:55:10
597,"RT @PIBMumbai: PM @narendramodi cites the example of Nashik farmer Rajendra Jadhav ""he has made an innovative tractor-mounted sanitization…",DD News,"New Delhi, India",0,25,2020-05-31 06:55:00
598,"RT @airnewsalerts: Railways has transported 48 lakhs passengers to their home states through #ShramikSpecialTrains.

??3543 trains have been…",Nani janasena,Eluru,0,66,2020-05-31 06:54:36
599,"A big thank for @BeingSalmanKhan Donates FRSH Sanitisers To Police Personnel in Mumbai, 1 Lakh Bottles Distributed.… https://t.co/Lvuuefo5qo",beingalmas,"Karnataka, India",0,0,2020-05-31 06:54:17
600,RT @airnewsalerts: West Bengal government announces extension of lockdown till 15th June of this year. Some additional relaxations will be…,Daisy Dcruz,"Mumbai, India",0,13,2020-05-31 06:54:09
601,"RT @investindia: #IndiaFightsCorona

In his address to the nation in #MannKiBaat, Hon'ble PM @narendramodi highlighted that India's innovat…",DPIIT India,"New Delhi, India",0,1,2020-05-31 06:54:06
602,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

??How smoking makes people more vulnerable to #COVID19 ???

??It leads to lung diseases
??It reduce…",Commissioner Kanpur,Kanpur,0,27,2020-05-31 06:53:56
603,"RT @stpiindia: #Startups can avert the challenges &amp; warrant resiliency by managing competition, effectively executing the strategy, bringin…",KIRAN KUMAR DONEPUDI #StayHome?? #StaySafe ????,"Vijayawada, India",0,142,2020-05-31 06:53:41
604,RT @stpiindia: Intelligent #HMS provided by BPO companies is the need of the hour &amp;an important tool in fighting pandemics like #COVID19.He…,KIRAN KUMAR DONEPUDI #StayHome?? #StaySafe ????,"Vijayawada, India",0,131,2020-05-31 06:53:34
605,RT @stpiindia: Kudos to all #ESDM companies are not only donating to the govt. but also rethinking their market to meet the challenges pose…,KIRAN KUMAR DONEPUDI #StayHome?? #StaySafe ????,"Vijayawada, India",0,133,2020-05-31 06:53:28
606,"RT @SushilKjain: SKJAIN Preaident S3ctor 18 market Association Noida during sanitisation of Noida's Sector-18 market by NA health team,as p…",pramod sharma,"Kanpur, India",0,5,2020-05-31 06:53:27
607,"RT @airnewsalerts: My dear countrymen, Namaskar! 

Our #MannKiBaat too has not remained untouched by the effect of Corona: #PMonAIR 

#Indi…",Krish Kannan????,"Chennai, India",0,15,2020-05-31 06:53:21
608,"RT @stpiindia: Using emerging tech-based apps to solve complex problems, especially during a crisis like #COVID19 is now a life-saving oppo…",KIRAN KUMAR DONEPUDI #StayHome?? #StaySafe ????,"Vijayawada, India",0,120,2020-05-31 06:53:19
609,RT @swachhbharat: A 99-year-old lady in #Mumbai is helping migrant workers by preparing food. A great initiative during this critical time!…,KeKa,Mumbai,0,30,2020-05-31 06:53:12
610,RT @DelhiTimesTweet: #Maharashtra CM #UddhavThackeray thanks @BeingSalmanKhan for providing one lakh hand sanitisers to @MumbaiPolice perso…,Lucknow Times,"38/22, Payagpur Tower, Lucknow",0,1,2020-05-31 06:53:09
611,"RT @VimalSharmaBJP: When Your #Work Become...Your #Motivation....You Called a #Warrior.

#IndiaFightsCOVID19 #IndiaFightsCorona #CoronaWarr…",Manoj kumar Agarwal,jaipur ,0,2,2020-05-31 06:53:08
612,"#IndiaFightsCorona

In his address to the nation in #MannKiBaat, Hon'ble PM @narendramodi highlighted that India's… https://t.co/TQkJcwGkt7",Invest India,,14,1,2020-05-31 06:53:01
613,RT @swachhbharat: A 99-year-old lady in #Mumbai is helping migrant workers by preparing food. A great initiative during this critical time!…,AIRcbschennai102.3MHz,,0,30,2020-05-31 06:52:57
614,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

""Smokers are more likely to get a severe case of #COVID19"" - @WHO 

#StaySafe #StayAtHome",AIRcbschennai102.3MHz,,0,22,2020-05-31 06:52:50
615,"#IndiaFightsCorona 
Prime Minister @narendramodi’s address in the 12th Episode of ‘Mann Ki Baat 2.0’ on 31st May, 2… https://t.co/G85VCSfOIw",PIB in Manipur,"Manipur, India",0,1,2020-05-31 06:52:47
616,"RT @PIBMumbai: PM @narendramodi cites the example of Nashik farmer Rajendra Jadhav ""he has made an innovative tractor-mounted sanitization…",DD India,"New Delhi, India",0,25,2020-05-31 06:52:39
617,"RT @BJP4Karnataka: Lockdown in Containment Zones extended till 30.06.2020.

Ministry of Home Affairs has issued guidelines for phased re-op…",H.S.Shyamala,,0,29,2020-05-31 06:52:33
618,"RT @timesofindia: If you are missing the TOI's print edition in the lockdown, click here to read the TOI epaper and your city edition ??

ht…",Gurpreet Singh Rajput,"Ludhiana, Punjab",0,11,2020-05-31 06:52:28
619,RT @airnewsalerts: TRUENAT testing facility becomes operational in Kollam District hospital in #Kerala which gives #COVID19 results in just…,chandrasekhar nair,Bangalore,0,33,2020-05-31 06:52:21
620,"RT @COVIDNewsByMIB: #IndiaFightsCorona: 

??MHA issues new guidelines to fight #COVID19 to be effective from 1st June 2020. 

??Strict enfor…",AIRcbschennai102.3MHz,,0,55,2020-05-31 06:51:55
621,RT @surnell: #IndiaFightsCorona India should withdraw @drharshvardhan ji from the @who position. Should have nothing to do with them after…,??????? ??????????,"Bengaluru, karnataka",0,29,2020-05-31 06:51:52
622,"RT @Sahapedia: #Remembering  Aspandiar Irani- In the month of May 2020, we have lost the former owner of Persian Bakery in Pune, Mr. Aspand…",Ardhra Nair,"Pune, India",0,2,2020-05-31 06:51:40
623,"RT @PIBMumbai: PM @narendramodi cites the example of Nashik farmer Rajendra Jadhav ""he has made an innovative tractor-mounted sanitization…",Publications Division,India,0,25,2020-05-31 06:51:17
624,"RT @COVIDNewsByMIB: ??#Lockdown5:

??Highlights of guidelines issued by @HMOIndia for phased re-opening of activities outside containment zon…",AIRcbschennai102.3MHz,,0,70,2020-05-31 06:51:10
625,"RT @airnewsalerts: In light of the guidelines issued by the govt, #DelhiMetro services will remain closed for commuters until further notic…","FOB, Kanker",,0,32,2020-05-31 06:51:08
626,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

Passengers bound for Amritsar and Srinagar flight arrive at Hamad International Airport in Doha.…",Rana yukesh pratap singh sisodia,"New Delhi, India",0,20,2020-05-31 06:51:03
