Tweets,User,User_location,fav_count,rt_count,tweet_date
"https://t.co/z6Fbl45cps

Latest Covid-19 updates | LOCKDOWN 5.0 | Unlock 1.0 | 
INDIA | Lockdown 5 guidelines

Expl… https://t.co/Fv1iLVeUkH",Sandeep Rajakrishnan,,0,0,2020-06-01 11:50:55
This State will not allow Inter-State Transport | #lockdownindia #UnlockIndia #Law #Latest #LatestLaws #LegalNews… https://t.co/2SUvRmnOF0,LatestLaws.com,India,0,0,2020-06-01 11:33:15
"Union Minister @nitin_gadkari addresses media regarding the decisions taken in the #Cabinet meet

@minmsme @AgriGoI… https://t.co/883d5b2VUp",ET NOW,India,7,1,2020-06-01 11:27:17
Open #Noida #Ghaziabad #noidaborder #UnlockIndia #UPPolice #YogiAdityanath @dmgbnagar @dm_ghaziabad it’s #NCR https://t.co/FtAomniY4h,Zahid Hussain Khan,"New Delhi, India",0,0,2020-06-01 11:27:01
"Strength grows when we dare,
Unity grows when we pair,
Love grows when we share;
And relationships grow when we car… https://t.co/mwX5HUkvKs",SS Tradelink Jaipur,"Jaipur, India",2,1,2020-06-01 11:20:53
Tune in as Union Minister of #Agriculture @nstomar addresses the media regarding the #Cabinet meeting. Tune in!… https://t.co/Wi4X9yoYva,ET NOW,India,1,1,2020-06-01 11:19:34
"Union Minister of #Agriculture, @nstomar: Govt hikes MSP for Sunflower seed to Rs 5,885/100 kg

@nitin_gadkari… https://t.co/6ZMvzkibMX",ET NOW,India,12,2,2020-06-01 11:13:43
Over 2 lakh parents petition govt to not reopen schools till #COVIDー19 situation improves or #vaccine is available.… https://t.co/lcRDnpzXjs,Gunjan Sharma,,7,6,2020-06-01 11:02:15
Union Minister @PrakashJavdekar on the #Cabinet meeting: #MSP for #Kharif crops to be 50-83% over cost… https://t.co/QrXHztelRG,ET NOW,India,3,0,2020-06-01 11:01:26
As per the CACP recomendation 14 kharif crop's minimum support prices has been cleared by the cabinet.@nstomar… https://t.co/JRXT9L90oo,madhvi sally,"New Delhi, India",2,1,2020-06-01 10:56:00
"This detail by @Indiastats is good enough to showcase what is expected when #UnlockIndia begins.
What do you think… https://t.co/WyTSuYXNDV",𝓜𝓪𝓱𝓲𝓶𝓪 𝓢𝓱𝓪𝓻𝓶𝓪,,0,0,2020-06-01 10:55:28
360 lakh tonne wheat procured this year says @nstomar #CabinetDecision @EconomicTimes #UnlockIndia #IndiaFightsCOVID19,madhvi sally,"New Delhi, India",1,0,2020-06-01 10:53:48
"Union Minister @PrakashJavdekar on the #Cabinet meeting: Cabinet approves equity scheme for #MSMEs

@nitin_gadkari… https://t.co/3YA9w15GGU",ET NOW,India,5,0,2020-06-01 10:53:18
@aajtak hope for the best. #UnlockIndia #unlock. 🤗🙏,pooja saroj,"Lucknow, India",1,0,2020-06-01 10:51:57
MSP of 14 foodgrains to be issued today for farmers. #CabinetDecision @EconomicTimes #UnlockIndia #IndiaFightsCOVID19,madhvi sally,"New Delhi, India",1,0,2020-06-01 10:47:52
"Union Minister @PrakashJavdekar says that the #Cabinet took decisions on #MSMEs, #agriculture. Tune in!

@PMOIndia… https://t.co/qGYsgxlcqY",ET NOW,India,4,1,2020-06-01 10:43:34
"Mostly things getting allowed to open after #Unlock1 in India...
Coronavirus - 

#Unlock #UnlockIndia #unlockone… https://t.co/jvwnCOjLvc",The_Narcissist,Searching..,0,0,2020-06-01 10:25:06
Its time to #unlock your taste buds with traditional #HomemadeFOOD as our nation is also heading towards #Unlock1!!… https://t.co/ce7d0Ai0Nt,Nativ Chefs,Nagpur,1,0,2020-06-01 09:59:54
"It's the best time to create CYCLING LANES"" all across the city. It is a pollution free mode of transport .… https://t.co/iXJk6OyuWj",Jasmine,,0,0,2020-06-01 09:42:18
"Punjab Unlock 1 Guidelines: Barber Shops, Salons, Beauty Parlours, Auto Rickshaws, Buses Allowed to Function, Check… https://t.co/0bc8CAuiqW",LatestLY,"Mumbai, India",1,0,2020-06-01 09:35:12
Allot seat in a manner that middle seat remains vacant if load factor permits: @DGCAIndia to #Airlines… https://t.co/fNzmuC2bfk,ET NOW,India,4,1,2020-06-01 09:25:36
"All these days the crowd of Kochi was contained in their homes.
It seems Unlock 1.0 has just broke opened the flood… https://t.co/QCTwN2n1oU",Vaishak P.R.,Kochi,0,0,2020-06-01 09:22:34
"Allot seat in a manner that the middle seat remains vacant if load factor permits, says @DGCAIndia to various… https://t.co/ehWG6GlCcZ",ET NOW,India,9,4,2020-06-01 09:12:23
"Unlock your own self ✨
#unlock #UnlockIndia",myrjsana,India,1,0,2020-06-01 09:09:53
"Himachal Pradesh hotels to reopen after June 8 but...: CM Jai Ram Thakur @jairamthakurbjp
#IndiaFightsCOVID19… https://t.co/VLnT5kPMHV",Green Planet News (www.greenplanetmagazine.in),"Lucknow, India",0,0,2020-06-01 09:05:00
"Himachal Pradesh hotels to reopen after June 8 but...: CM Jai Ram Thakur
#IndiaFightsCOVID19 #Unlock1 #UnlockIndia… https://t.co/BMgmomfYXu",India TV,India,34,2,2020-06-01 09:03:47
"At first, other states sealed their border with Delhi, now on commencement of #UnlockIndia delhi closes it borders,… https://t.co/Mp6yTvWmvq",SHUBHANGI garg,"Pune, India",0,1,2020-06-01 08:39:29
"ETEnergyworld | COVID-19: India added 989 MW solar capacity in Q1 2020, says report

@mnreindia @RajKSinghIndia… https://t.co/iwtniKcEAH",ETEnergyWorld,"New Delhi, India",0,2,2020-06-01 08:35:48
"@PadmajaJoshi First other states sealed their borders with Delhi, on the 1st day of #UnlockIndia Delhi closes its b… https://t.co/8NQy16KB0V",SHUBHANGI garg,"Pune, India",0,0,2020-06-01 08:34:24
"These are the Guidelines for Unlock 1.0

Be prepared &amp; #StaySafe 

Follow @takshilalearning for more updates… https://t.co/rQRsRvtCjT",Takshila Learning,New Delhi,0,1,2020-06-01 08:30:19
As we start a new beginning with the much needed #Unlock1 #unlockone would advise and request everyone to still be… https://t.co/t1v9lG3Lwy,Parvin Dabas,,7,2,2020-06-01 08:28:07
"#Home https://t.co/n30Rg8akWL is #happy #healthy place. 
Stay indoors as much as you can. #StayHome #StaySafe .… https://t.co/utzg762ym5",Nutrafy,"Gurgaon, India",0,0,2020-06-01 08:14:25
Yar jab sab unlock hi karna tha to lockdown kyu kiya... What's the difference in conditions in what is today and wh… https://t.co/Pvl3Kc2NSL,Ashu,,1,0,2020-06-01 08:07:20
"@shukla_tarun In #Mumbai except for public transport, its biz as usual.  There is a lineup on vehicles at every tra… https://t.co/MCoWHra6o2",Dino Marino,Dubai/Mumbai,2,2,2020-06-01 07:56:58
"sanitization, and monitoring the lapses. It will risk life of every corporate individuals who will be forced to com… https://t.co/clAldH04IL",Sagar Parikh,,0,0,2020-06-01 07:47:05
"@narendramodi
Deep regret on decision for #UnlockIndia taken without any due diligence and risking life of Indian p… https://t.co/dEty7G81Cn",Sagar Parikh,,0,0,2020-06-01 07:47:04
"Those who have Fever/cough/fatigue/dypnea should not be allowed to board in bus, train or flight in order to contai… https://t.co/PmxuZPJ8oI",Dr. Kamaraj C Natesan,Coimbatore,0,0,2020-06-01 07:46:50
"Unlock 1.0 

India's Exit Strategy

India unveils plan to lift the lockdown

#indev #indevconsultancy
#unlockindia… https://t.co/HNBtHLNrUm",Indev Consultancy Pvt Ltd,New Delhi ,1,0,2020-06-01 07:45:43
"Pl do read my new blog and subscribe https://t.co/ZzZjM7ujV8

#blogger 
#Blog 
#blogging 
#bloggerstribe… https://t.co/j32oTjHPw9",MANISH,mumbai,3,1,2020-06-01 07:40:05
"Ghar ka khana.. All about lockdown cooking 😋
Guess what all are the veggies there 👇🏻 Anyone?? #Learningathome… https://t.co/0EROmuhbW8",UrVashi VeRma,"New Delhi, India",2,0,2020-06-01 07:36:17
"CM Kejriwal announces sealing of Delhi borders for one week amid COVID-19 outbreak
#IndiaFightsCOVID19 #Unlock1… https://t.co/dtQkA5ip9S",India TV,India,18,2,2020-06-01 07:15:40
#shopping is going to change drastically now shops get permit to open Odd-Even basis no trail rooms will be allowed… https://t.co/EMp8erZIql,Nishant Morey🇮🇳,"Mumbai, India",2,0,2020-06-01 07:06:24
"We all are expressing delight on the slow &amp; steady #UnlockIndia, but let us not forget the difficulties we all had… https://t.co/L4RThMODmc",MM,"Hyderabad, India",1,1,2020-06-01 07:02:03
"#UnlockIndia: As the country starts opening up in phases, a quick look at what is—and isn't—permitted… https://t.co/7uSqbyeXVr",Forbes India,India,3,3,2020-06-01 07:01:29
Why is this NCR situation the messiest  when it’s one of the most commercially interconnected areas. Do we want to… https://t.co/3m1poLtLVY,Mitali Mukherjee,"New Delhi, India",56,8,2020-06-01 06:59:47
"#UnlockIndia: A quick look at what is—and isn't—permitted

#COVID19India
#CoronavirusOutbreak
#CoronavirusUpdates https://t.co/wzm4pVh6kr",Forbes India,India,3,2,2020-06-01 06:58:55
"#Unlock1 begins on 1st June (today) ,The Ministry of Home Affairs (MHA) issues national directives for #COVID19 man… https://t.co/J1vjFGy0hD",RMD Minhaz Paithu,"Assam, India",0,0,2020-06-01 06:57:44
"Unlock 1.0: As the country starts opening up in phases, a quick look at what is—and isn't—permitted

#COVID19India… https://t.co/MpN6SCGHi7",Forbes India,India,13,7,2020-06-01 06:56:30
https://t.co/3r7FIv9JWu @narendramodi @PMOIndia @FinMinIndia @nitin_gadkari my very important suggestions for unloc… https://t.co/6QD69GWFT2,Vickrant Siingh,"Pune, India",2,0,2020-06-01 06:56:20
"Kejriwal says there is no restriction on the number of passengers travelling in auto, e-rickshaws and other vehicle… https://t.co/7yK255Hrlg",scroll.in,,6,0,2020-06-01 06:54:53
"After Centre reopened inter-state travel, coronavirus cases surge across rural India https://t.co/ZluvTpPgf5 |… https://t.co/oqRCekx7Cz",scroll.in,,4,1,2020-06-01 06:50:00
Social distancing... Not??? Looks just like a normal non #Covid19 day @RoadsOfMumbai @mumbaimatterz @AUThackeray… https://t.co/b78r7pKvKl,Deepankar Sadekar,Mumbai,0,0,2020-06-01 06:48:31
"The Delhi chief minister says there is no shortage of beds in hospitals in the national Capital.

Follow live updat… https://t.co/eM0JUkH1xc",scroll.in,,4,0,2020-06-01 06:46:16
Oh-I-see ji giving us some entertainment. 🤣🤣🤣 #UnlockIndia https://t.co/VP26RrDnRc,Aruna,"Guwahati, India",2,0,2020-06-01 06:45:56
"Kejriwal says all shops can open now since the Centre has not stated any odd-even rule. 

Follow live updates here:… https://t.co/x7PQGiSFVo",scroll.in,,5,0,2020-06-01 06:44:34
"Unlock with care :)
.
#Unlock1 #UnlockIndia #India #IncredibleIndia #Gurgaon #TalkCharge #TakeCare #BeSafe… https://t.co/haH8yOjsfW",TalkCharge,India,0,0,2020-06-01 06:38:08
@VFSGlobal Why there is no news for VFS India. India opened all the business and some special flights are going out… https://t.co/gsi8kub34s,IamB,,0,0,2020-06-01 06:37:13
"Salons to open in Delhi. Spa to remain closed, says @ArvindKejriwal #UnlockIndia",Faizan Haidar ET,"New Delhi, India",15,4,2020-06-01 06:33:51
#UnlockIndia https://t.co/wBoRURPz2U the #COVID19 is still out there. Best way to be #healthy is to ensure staying… https://t.co/r0e2fHjob4,Nutrafy,"Gurgaon, India",0,0,2020-06-01 06:32:37
"Ye jo lockdown mei roo rhe the ab ukhaad  lo kya ukhaadna tha #lockdown4 is over 
#Lockdown5 #UnlockIndia",Henu,,2,1,2020-06-01 06:28:47
"Finally its time to #UnlockIndia but spent the two months of #COVID19 #lockdownindia editing #wikipedia 
Thanks to… https://t.co/9qpV4qeUKc",Rangan Datta,"Kolkata, West Bengal",15,3,2020-06-01 06:25:38
"@PMOIndia @DrRPNishank @HRDMinistry @ugc_india 
 There is no point in waiting for phase 2 for opening educational i… https://t.co/ZSTtdLonp4",Rahul Ranjan,Bharat,0,1,2020-06-01 06:24:50
"#Karnataka | Bengaluru-Hubli Janshatbdi departed from Bengaluru Junction Railway Station earlier today. 

Indian Ra… https://t.co/OOVWYQvKIe",First India,"Jaipur, India",0,0,2020-06-01 06:24:04
"New CDC Guidelines for Offices To Re-Open Amid Corona Virus.
Source: HUFFPOST 
#1upvms #coronavirus #lockdown… https://t.co/rzC8O8az9Z",1upvms,,0,0,2020-06-01 06:13:00
We need to be cautious of this fact. #UnlockIndia #coronavirus https://t.co/eW2SxYH7Nf,Varun Ajay Mohan,South Delhi,1,0,2020-06-01 06:05:19
"Unlock 1.0 - States Come Out With #Guidelines 
https://t.co/QupR3cEPN9

@TheMornStandard #unlockone #UnlockIndia… https://t.co/ekmwIbja5K",Magzter,"New York, USA",0,0,2020-06-01 06:00:00
"Almost all shops including Krishna sweets, fancy stores, jackfruit shack and cycle repair shop are open here. 

Und… https://t.co/M0AQrXbbPs",Aniruddh,Chennai,13,0,2020-06-01 05:59:51
"#Unlock #UnlockOne #UnlockIndia
""Don't worry, after the #Unlock1 India will become number 1"" ~ Coronavirus https://t.co/j51YmeB8ec",𝘈ʟᴛᴇЯ Ǝɢ๏ 😷🙏,Alternate reality,1,0,2020-06-01 05:40:06
"Will not allow religious places to be super spreaders: Yogi Adityanath on unlock 1
#IndiaFightsCorona #Unlock1… https://t.co/SYqQKuNpkb",India TV,India,30,4,2020-06-01 05:39:58
#UnlockIndia proceeding with the same thoughtlessness as #lockdown. Read! Modi Once Stoked Public Fears About Coron… https://t.co/oF5BHFL0rR,g.arunima,https://www.academia.edu/,1,0,2020-06-01 05:35:09
@ndtv Will be glad if that historic decisions include better control measures for Corona than ease restrictions and… https://t.co/AnF6OSqtvz,Kranthiquotes,"Hyderabad, India",2,0,2020-06-01 05:33:52
"#UnlockIndia
Friend:- bhai aaj to Lockdown unlock hua kesa lag raha h ??
Me:- https://t.co/S8qlODu6nW",Laad saahab,नहीं बताऊँगा ,3,2,2020-06-01 05:25:58
Completely agree... and we shoot and edit lot of our videos in 4k whereas our subscribers can watch it max at 480p… https://t.co/qhtpDV1HdY,𝘼𝙧𝙪𝙣 𝙋𝙧𝙖𝙗𝙝𝙪𝙙𝙚𝙨𝙖𝙞,"Pune, India",544,54,2020-06-01 05:23:49
"Mahanagari Express, the first train among 200 special trains departed on Monday from Mumbai's Chhatrapati Shivaji M… https://t.co/CH771K57xv",Mumbai Mirror,"Mumbai, India",21,5,2020-06-01 05:10:00
New guidelines and restrictions - are bound to be in vogue if shooting and other production activities are to begin… https://t.co/xhjgiDuGMw,India Updates,"New Delhi, India",0,0,2020-06-01 05:00:00
"Over 1.90 lakh coronavirus cases in India, deaths at 5,394. Check state-wise list
#IndiaFightsCOVID19 #UnlockIndia… https://t.co/IZvJPz4uRq",India TV,India,21,4,2020-06-01 04:42:50
"Unlock - 1  "" Users Guid ""
#examscancelled #COVID19India #UnlockIndia #CoronaVirusUpdates
@eranuragSharma1… https://t.co/rcloFk62II",Kirtish Bhawsar,"Indore , India",2,0,2020-06-01 04:38:04
"Unlockdown 1 started from today onwards.. I hope all people know the value of their life.. 
So be safe and secure g… https://t.co/8q9ACJVSic",#unknown.Writer,"Delhi , India ",2,0,2020-06-01 04:35:55
"Multiplex/Theaters to open soon

Curious abt the new
#Corona warnings⚠️ viewers have to suffer along with d existin… https://t.co/bRsDPAI7ah",Mister Pai,"Cochin, India",1,0,2020-06-01 04:33:14
Herd immunity makes sense if infrastructure is in place. Not if we are already scrambling and the medical community… https://t.co/xAskcJaGaV,anupama mandloi,mumbai,3,4,2020-06-01 04:28:04
Pls take note #Unlock1 #UnlockIndia https://t.co/j2KHL6IqMu,aamnasingh,India,0,0,2020-06-01 04:20:35
"#ThePoliticalFix 

As India unlocks, how the Covid crisis is playing out in 3 very different states… https://t.co/TZvpxz6eVt",scroll.in,,2,0,2020-06-01 04:10:00
We will be Number 1 by the end of this month .#UnlockIndia #Unlock1 https://t.co/go8sJgUdlj,JSD,,0,0,2020-06-01 03:56:02
#WestBengal | Prayers being offered at a temple in Siliguri after state government allowed all religious places to… https://t.co/t5t3orCANj,First India,"Jaipur, India",0,0,2020-06-01 03:56:00
Scientist heading government study group: ‘We weren’t consulted for extending or modifying lockdown’… https://t.co/dTx4tJ2VO2,scroll.in,,14,10,2020-06-01 03:50:00
"I came out from home after 2 and 1/2 months. A very different feeling , I hope everything will settle down soon.
#faith #hope #UnlockIndia",Ankit Kumar,"Patna, India",3,0,2020-06-01 03:42:53
"Today Germany, Tomorrow France. #UnlockIndia",KVK 🇮🇳,New Delhi,1,0,2020-06-01 03:27:43
@OfficeofUT Sir Please have some guidelines on Online classes by Schools. Exposure to #laptops #Mobile and #Tabs fo… https://t.co/FTmppTSnBx,Manish Pipalwa,PUNE ,0,0,2020-06-01 03:13:25
"Good morning everyone. Have a wonderful day. These gorgeous flowers for you #unlockindia 
please attention
1. mask… https://t.co/Rk8GR3MoJ3",Lalit Sharma,"New Delhi, India",2,2,2020-06-01 03:05:44
#Lockdown5 #Unlock1 #UnlockIndia Exit from Lockdown ; Some Important Duties (available In Hindi also) @youthwordscom https://t.co/GJe1QSX4Ti,AMOL VIPAT,"Mumbai, India",1,0,2020-06-01 02:39:59
"Unlock 1.0 starts from today. What all will change? 👇

Full Coverage: https://t.co/GGkoHtmj5m

#Unlock1 #CratNews… https://t.co/17Xczlt2z0",Crat News,"New Delhi, India",0,0,2020-06-01 02:29:17
First phase of nationwide #Unlock1 starts today. Unlock 1 to allow phased reopening of most activities across India… https://t.co/x1AgOvc1mx,First India,"Jaipur, India",0,0,2020-06-01 02:28:14
"are hospitals ready for #UnlockIndia + baarish???

doctors will entertain patients?

@HMOIndia 
@CMOMaharashtra",kabir100mani,"Jalgaon, India",0,0,2020-06-01 02:24:28
@AmarUjalaNews #COVID19India increase to 2.74 crore by #15August2020 need to maintain #SocialDistancing &amp; follow ne… https://t.co/QCCEFL1ulz,Naveen Arora,"Greater Noida, India",0,0,2020-06-01 02:21:12
"Guatam Budh Nagar district administration yesterday said it will keep the Noida-Delhi border shut. 
#IndiaKaNayaJosh 
#Unlock1 
#UnlockIndia",Sweta Tripathi,India,45,4,2020-06-01 02:13:49
Unlock India 1.0 start ..but I still wake up to “highest number of Covid-19 cases and deaths in last 24 hours” ! Th… https://t.co/wf4a4FaeHj,Anjali Singh,,3,0,2020-06-01 02:13:25
Hope the #MumbaiRain is a sign of a fresh start on June 1st...sure does smell like it #unlockone #Unlock1… https://t.co/Jhu4YGUE0d,Parvin Dabas,,6,0,2020-06-01 02:07:36
"OK GUYS... ALL ARE PROMISING FOR MORE BEDS , THEY ARE READY TO GIVE MORE BEDS TO YOU...BUT THEY WILL NOT TAKE SAFET… https://t.co/5tzL3kcAxq",PRATEEK VERMA,,0,0,2020-06-01 02:07:14
"Let's wear masks,wash hands and not fall sick bcoz if u r healthy,ur contacts remain infection free too...

Don't b… https://t.co/xBB8IlMwH0",Sraboni Bose,,0,0,2020-06-01 02:03:29
@MamataOfficial Didi u have done a commendable work in the lockdown period.... We really pray you have better healt… https://t.co/6XKuQSDbx9,Sraboni Bose,,0,0,2020-06-01 01:56:11
"No. Of cases are increasing and it’s #UnlockIndia , the govt. has decided let it be bhagwan bharose.",KVK 🇮🇳,New Delhi,0,0,2020-06-01 01:55:46
"A stitch in time saves nine. No matter how much you prayed, crossed your fingers, closed your eyes, befooled yourse… https://t.co/PZkzkUeeyG",Atish Agarwal Adv.,"Lucknow, India",0,0,2020-06-01 01:31:32
#MannKiBaat #UnlockIndia cartoon @DeccanHerald https://t.co/BLsEChytUf,sajithkumar,"NEW DELHI, INDIA.",22,6,2020-06-01 00:58:10
"Government comes with an 'Unlock' plan

Me to the Lockdown's:
#Unlock1 #UnlockIndia https://t.co/B6C6Q8UMXO",Ajinkya Inamdar,,4,0,2020-05-31 22:16:13
"#UnlockIndia will be a killer for all ,be prepared",Adv. Prakash Kashyap 🇮🇳,भारत,0,0,2020-05-31 21:37:20
"Mark my words this UNLOCk 1.0 will be Goverment's biggest regret in ongoing Covid scenario. 
#Unlock1 #UnlockIndia",Swapnil Wagh,"Pune, India",0,0,2020-05-31 20:33:26
"@_pallavighosh @_pallavighosh If you arrange my journey tickets &amp; hotel, then I’ll be the 1st ☝️👍😍

#Goa #Unlock1… https://t.co/dJSymZHWwP",₹aHuL ҜLΞIИ,nEW dELHI,0,0,2020-05-31 20:24:13
When you see clouds dressed up like snow-caped peaks 😍. #artynature #artinsky #cloudsart #Unlock1 #UnlockIndia… https://t.co/XkdZZQfIF8,Pratiksha Tayal,New Delhi,2,0,2020-05-31 19:57:10
"Prohibitions to continue but large scale relief in Rajasthan Lockdown 5
https://t.co/a8qHlBDfSf
#Lockdown5 
#UnlockIndia",UdaipurTimes,Udaipur,2,0,2020-05-31 19:02:36
Today #Unlock1 #UnlockIndia #PMModi  #COVID19India #cartoons https://t.co/fuIfJPANws,Santosh paliwal,New delhi,0,0,2020-05-31 18:57:07
"Someone: why do you think you are always unlucky?
Me: Just birthday aane se pahele lockdown khul gaya, ab sabko par… https://t.co/0G43bO4CvR",Painfully Punny,,1,0,2020-05-31 18:47:05
"1st June, 12.00 am, Monday - it can't get any more motivating then this .. 
#UnlockIndia
#MondayMotivaton… https://t.co/uzCwd8FcFU",Aziz,"Pune, Mumbai - India",0,0,2020-05-31 18:32:08
"Lock at 100, unlock @ 150000... Either of the timing has to be wrong #COVID19India #lockdown2020 #unlockone… https://t.co/S3lif9F9Kn",InsaneBaba,Mumbai,0,0,2020-05-31 18:30:12
Day68- So this is actually the last day of Lockdown 4. There will be lockdown 5 but its going to be less restrictio… https://t.co/FiJlQR5mV2,Manasweta Das,,0,0,2020-05-31 18:27:01
